anchor_family,horizon,orbit,prev_anchor_id,next_anchor_id,from_anchor,to_anchor,t0,t1,gap_steps,deep_black_count,fresh_bite_count,h_best_prev,h_best_next,delta_h_best,prev_best_phase,next_best_phase,prev_best_bad_kind,next_best_bad_kind,next_any_compatible_clear
gate,1600,2,2:gate:25,2:gate:26,25,26,225308,287361,62053,15099,2130,45,45,0,0,103,frontier_black_collision,missing_black,0
gate,1600,0,0:gate:20,0:gate:21,20,21,216215,273208,56993,14244,1494,47,45,-2,24,25,frontier_black_collision,frontier_black_collision,0
gate,1600,12,12:gate:15,12:gate:16,15,16,115979,173215,57236,13469,2697,77,61,-16,24,0,missing_black,frontier_black_collision,0
gate,1600,0,0:gate:10,0:gate:11,10,11,59442,115204,55762,13094,2679,48,43,-5,24,0,frontier_black_collision,frontier_black_collision,0
gate,1600,8,8:gate:18,8:gate:19,18,19,147571,193661,46090,11097,1898,46,44,-2,31,103,missing_black,frontier_black_collision,0
gate,1600,1,1:gate:21,1:gate:22,21,22,229701,272646,42945,10893,900,76,45,-31,0,0,missing_black,frontier_black_collision,0
gate,1600,9,9:gate:11,9:gate:12,11,12,52307,92713,40406,9497,1935,49,45,-4,100,0,frontier_black_collision,frontier_black_collision,0
gate,1600,6,6:gate:19,6:gate:20,19,20,114552,152959,38407,9152,1786,61,45,-16,0,103,frontier_black_collision,missing_black,0
gate,1600,21,21:gate:20,21:gate:21,20,21,83751,120900,37149,8741,2011,77,46,-31,24,103,missing_black,frontier_black_collision,0
gate,1600,1,1:gate:13,1:gate:14,13,14,114532,151696,37164,8711,1760,76,46,-30,0,30,missing_black,missing_black,0
gate,1600,0,0:gate:18,0:gate:19,18,19,171646,206449,34803,8472,1221,45,43,-2,103,0,missing_black,frontier_black_collision,0
gate,1600,1,1:gate:19,1:gate:20,19,20,187536,222006,34470,8440,1074,79,46,-33,102,31,missing_black,missing_black,0
gate,1600,19,19:gate:23,19:gate:24,23,24,163334,198211,34877,8313,1529,77,46,-31,24,103,missing_black,frontier_black_collision,0
gate,1600,5,5:gate:26,5:gate:27,26,27,165983,199580,33597,8241,939,75,45,-30,25,0,frontier_black_collision,frontier_black_collision,0
gate,1600,9,9:gate:24,9:gate:25,24,25,219279,252707,33428,7915,1301,100,50,-50,102,26,missing_black,missing_black,0
gate,1600,10,10:gate:31,10:gate:32,31,32,82744,114180,31436,7687,1060,63,43,-20,102,0,frontier_black_collision,frontier_black_collision,0
gate,1600,2,2:gate:24,2:gate:25,24,25,196228,225308,29080,7275,598,73,45,-28,25,0,missing_black,frontier_black_collision,0
gate,1600,16,16:gate:8,16:gate:9,8,9,106245,136716,30471,7190,1309,74,45,-29,24,102,missing_black,frontier_black_collision,0
gate,1600,8,8:gate:14,8:gate:15,14,15,105330,134169,28839,7132,1046,77,46,-31,0,103,missing_black,frontier_black_collision,0
gate,1600,15,15:gate:21,15:gate:22,21,22,126379,155956,29577,7087,1137,71,46,-25,0,31,frontier_black_collision,missing_black,0
grid,1600,12,12:grid:210,12:grid:211,210,211,218400,220480,2080,423,179,5,2,-3,83,92,frontier_black_collision,frontier_black_collision,0
grid,1600,20,20:grid:50,20:grid:51,50,51,52000,53040,1040,327,2,9,8,-1,72,100,missing_black,frontier_black_collision,0
grid,1600,11,11:grid:233,11:grid:234,233,234,242320,243360,1040,326,0,4,2,-2,21,92,frontier_black_collision,frontier_black_collision,0
grid,1600,5,5:grid:113,5:grid:114,113,114,117520,118560,1040,323,2,7,2,-5,93,92,frontier_black_collision,frontier_black_collision,0
grid,1600,12,12:grid:98,12:grid:99,98,99,101920,102960,1040,320,0,12,2,-10,31,92,frontier_black_collision,frontier_black_collision,0
grid,1600,15,15:grid:188,15:grid:189,188,189,195520,196560,1040,315,3,9,2,-7,101,92,frontier_black_collision,frontier_black_collision,0
grid,1600,8,8:grid:209,8:grid:210,209,210,217360,218400,1040,315,1,9,2,-7,90,92,missing_black,frontier_black_collision,0
grid,1600,18,18:grid:126,18:grid:127,126,127,131040,132080,1040,315,1,8,7,-1,25,31,missing_black,frontier_black_collision,0
grid,1600,4,4:grid:164,4:grid:165,164,165,170560,171600,1040,313,0,4,2,-2,21,92,frontier_black_collision,frontier_black_collision,0
grid,1600,5,5:grid:206,5:grid:207,206,207,214240,215280,1040,312,0,2,2,0,92,92,frontier_black_collision,frontier_black_collision,0
grid,1600,7,7:grid:142,7:grid:143,142,143,147680,148720,1040,311,26,8,3,-5,98,16,missing_black,frontier_black_collision,0
grid,1600,19,19:grid:228,19:grid:229,228,229,237120,238160,1040,311,0,6,2,-4,83,92,frontier_black_collision,frontier_black_collision,0
grid,1600,22,22:grid:35,22:grid:36,35,36,36400,37440,1040,311,1,6,2,-4,72,92,frontier_black_collision,frontier_black_collision,0
grid,1600,9,9:grid:71,9:grid:72,71,72,73840,74880,1040,311,1,5,2,-3,93,92,missing_black,frontier_black_collision,0
grid,1600,12,12:grid:238,12:grid:239,238,239,248560,249600,1040,310,0,10,2,-8,98,21,frontier_black_collision,missing_black,0
grid,1600,8,8:grid:157,8:grid:158,157,158,163280,164320,1040,310,0,4,4,0,21,25,frontier_black_collision,frontier_black_collision,0
grid,1600,13,13:grid:224,13:grid:225,224,225,232960,234000,1040,309,14,6,4,-2,90,30,missing_black,missing_black,0
grid,1600,21,21:grid:174,21:grid:175,174,175,180960,182000,1040,309,21,7,6,-1,26,98,missing_black,missing_black,0
grid,1600,6,6:grid:206,6:grid:207,206,207,214240,215280,1040,308,0,3,2,-1,16,21,frontier_black_collision,missing_black,0
grid,1600,11,11:grid:252,11:grid:253,252,253,262080,263120,1040,307,0,10,2,-8,16,92,missing_black,frontier_black_collision,0
