idx,onset,kind,L,min_count,min_start,min_rate,median_rate,mean_rate
0,313358,deep_black,313,26,68807,0.08306709265175719,0.24281150159744408,0.23789352559501967
0,313358,fresh_bite,313,0,6091,0.0,0.006389776357827476,0.046379969390324675
0,313358,deep_black,1040,136,2598,0.13076923076923078,0.2423076923076923,0.23801390996434366
0,313358,fresh_bite,1040,0,17372,0.0,0.03653846153846154,0.046173143484706344
0,313358,deep_black,10400,2062,3054,0.19826923076923078,0.24153846153846154,0.23869201709700755
0,313358,fresh_bite,10400,7,89003,0.000673076923076923,0.04375,0.04517949115734625
1,307906,deep_black,313,22,106106,0.07028753993610223,0.23961661341853036,0.23524305232774267
1,307906,fresh_bite,313,0,6256,0.0,0.006389776357827476,0.04919043838979397
1,307906,deep_black,1040,139,49739,0.13365384615384615,0.2403846153846154,0.23533858065796984
1,307906,fresh_bite,1040,0,19898,0.0,0.0375,0.04898846180166752
1,307906,deep_black,10400,2048,56,0.19692307692307692,0.23653846153846153,0.23583954327125076
1,307906,fresh_bite,10400,3,259487,0.0002884615384615385,0.045384615384615384,0.04803299392309063
2,302092,deep_black,313,23,1386,0.07348242811501597,0.23961661341853036,0.23410317102550426
2,302092,fresh_bite,313,0,5654,0.0,0.012779552715654952,0.052625137707959395
2,302092,deep_black,1040,142,185178,0.13653846153846153,0.23846153846153847,0.23412136861155805
2,302092,fresh_bite,1040,0,10830,0.0,0.04038461538461539,0.052459782828937096
2,302092,deep_black,10400,2012,14091,0.19346153846153846,0.2353846153846154,0.23427330143467487
2,302092,fresh_bite,10400,33,217679,0.003173076923076923,0.05096153846153846,0.051790055746175706
3,291397,deep_black,313,21,49857,0.0670926517571885,0.2364217252396166,0.23125071171146006
3,291397,fresh_bite,313,0,5516,0.0,0.019169329073482427,0.05620850842235569
3,291397,deep_black,1040,128,83648,0.12307692307692308,0.23653846153846153,0.23141086904918967
3,291397,fresh_bite,1040,0,13490,0.0,0.04423076923076923,0.055896530516439384
3,291397,deep_black,10400,2018,4,0.19403846153846155,0.23307692307692307,0.23216264747572798
3,291397,fresh_bite,10400,65,221813,0.00625,0.050673076923076925,0.054773978681479804
4,286748,deep_black,313,23,5194,0.07348242811501597,0.23961661341853036,0.23589380955336214
4,286748,fresh_bite,313,0,14978,0.0,0.003194888178913738,0.04964315888863453
4,286748,deep_black,1040,130,6326,0.125,0.2403846153846154,0.23599063073051466
4,286748,fresh_bite,1040,0,24607,0.0,0.032692307692307694,0.049347328790967246
4,286748,deep_black,10400,1841,9,0.17701923076923076,0.2401923076923077,0.23725903031757223
4,286748,fresh_bite,10400,2,253331,0.0001923076923076923,0.041442307692307695,0.04722136299500882
5,285796,deep_black,313,18,254460,0.05750798722044728,0.23961661341853036,0.23282327376952086
5,285796,fresh_bite,313,0,11750,0.0,0.01597444089456869,0.05709714969562592
5,285796,deep_black,1040,106,254460,0.10192307692307692,0.23846153846153847,0.2330238285490922
5,285796,fresh_bite,1040,0,31331,0.0,0.041346153846153845,0.05671237635544044
5,285796,deep_black,10400,1868,53880,0.17961538461538462,0.23701923076923076,0.23364249994623146
5,285796,fresh_bite,10400,16,178937,0.0015384615384615385,0.048846153846153845,0.05554915197947802
6,276143,deep_black,313,22,66677,0.07028753993610223,0.23961661341853036,0.23339373325355273
6,276143,fresh_bite,313,0,7345,0.0,0.01597444089456869,0.05416288204347194
6,276143,deep_black,1040,138,151901,0.1326923076923077,0.2375,0.2334665463578529
6,276143,fresh_bite,1040,0,7345,0.0,0.04423076923076923,0.05396050920043664
6,276143,deep_black,10400,1971,59,0.18951923076923077,0.23567307692307693,0.234417458806509
6,276143,fresh_bite,10400,34,225952,0.003269230769230769,0.04740384615384615,0.052640125459088444
7,272174,deep_black,313,25,119,0.07987220447284345,0.23961661341853036,0.2338016212557381
7,272174,fresh_bite,313,0,5070,0.0,0.012779552715654952,0.052252055244247086
7,272174,deep_black,1040,130,4,0.125,0.23942307692307693,0.2339496326695047
7,272174,fresh_bite,1040,0,37299,0.0,0.03942307692307692,0.05192891775456734
7,272174,deep_black,10400,2004,5774,0.1926923076923077,0.23576923076923076,0.23455463918661798
7,272174,fresh_bite,10400,79,239769,0.007596153846153846,0.04778846153846154,0.050598863527838794
8,271114,deep_black,313,24,17891,0.07667731629392971,0.24281150159744408,0.23747361198766045
8,271114,fresh_bite,313,0,4403,0.0,0.006389776357827476,0.04850815515140178
8,271114,deep_black,1040,129,17665,0.12403846153846154,0.2423076923076923,0.23759273421200663
8,271114,fresh_bite,1040,0,27495,0.0,0.038461538461538464,0.048255381339941186
8,271114,deep_black,10400,1908,22,0.18346153846153845,0.23942307692307693,0.23817519130084575
8,271114,fresh_bite,10400,6,257728,0.000576923076923077,0.046153846153846156,0.04733419818870886
9,270625,deep_black,313,22,695,0.07028753993610223,0.2364217252396166,0.23221452106952242
9,270625,fresh_bite,313,0,8859,0.0,0.019169329073482427,0.05376765396649576
9,270625,deep_black,1040,134,6227,0.12884615384615383,0.23557692307692307,0.2324085428140813
9,270625,fresh_bite,1040,0,41289,0.0,0.04230769230769231,0.053235559481803724
9,270625,deep_black,10400,1985,26486,0.1908653846153846,0.2351923076923077,0.2331324210641756
9,270625,fresh_bite,10400,77,231354,0.007403846153846154,0.04817307692307692,0.05158408238637539
10,270401,deep_black,313,26,212880,0.08306709265175719,0.23961661341853036,0.2323226149439771
10,270401,fresh_bite,313,0,8407,0.0,0.01597444089456869,0.05575150787179287
10,270401,deep_black,1040,130,194562,0.125,0.23653846153846153,0.2323946063718656
10,270401,fresh_bite,1040,0,27107,0.0,0.04326923076923077,0.05557909130578067
10,270401,deep_black,10400,2061,0,0.19817307692307692,0.23403846153846153,0.23265342781386888
10,270401,fresh_bite,10400,110,239443,0.010576923076923078,0.05173076923076923,0.05477963926904704
11,268891,deep_black,313,19,140297,0.06070287539936102,0.23961661341853036,0.23251278438824652
11,268891,fresh_bite,313,0,6534,0.0,0.012779552715654952,0.0519132125819395
11,268891,deep_black,1040,113,67,0.10865384615384616,0.23653846153846153,0.2326914963946795
11,268891,fresh_bite,1040,0,51888,0.0,0.03942307692307692,0.05162347476045899
11,268891,deep_black,10400,1836,5,0.17653846153846153,0.23384615384615384,0.23384379400523034
11,268891,fresh_bite,10400,0,149636,0.0,0.048846153846153845,0.04977425168045671
12,267843,deep_black,313,28,89812,0.08945686900958466,0.24281150159744408,0.23636626601917907
12,267843,fresh_bite,313,0,5027,0.0,0.009584664536741214,0.04866907245516667
12,267843,deep_black,1040,143,154817,0.1375,0.23942307692307693,0.23638449515807053
12,267843,fresh_bite,1040,0,18129,0.0,0.0375,0.04841189239464753
12,267843,deep_black,10400,2075,718,0.19951923076923078,0.23778846153846153,0.23695079729064306
12,267843,fresh_bite,10400,59,248280,0.005673076923076923,0.04692307692307692,0.04717820671680055
13,267828,deep_black,313,24,70829,0.07667731629392971,0.2364217252396166,0.23052454131673686
13,267828,fresh_bite,313,0,7548,0.0,0.019169329073482427,0.05713274466829538
13,267828,deep_black,1040,132,78511,0.12692307692307692,0.23461538461538461,0.2306179119655781
13,267828,fresh_bite,1040,0,43848,0.0,0.04519230769230769,0.05688741131352146
13,267828,deep_black,10400,1998,11196,0.1921153846153846,0.2321153846153846,0.23067940092219602
13,267828,fresh_bite,10400,52,213359,0.005,0.054134615384615385,0.056173002668099374
14,266260,deep_black,313,23,255321,0.07348242811501597,0.2364217252396166,0.23114769943976654
14,266260,fresh_bite,313,0,2758,0.0,0.022364217252396165,0.05621755263021703
14,266260,deep_black,1040,123,1151,0.11826923076923077,0.23461538461538461,0.23133314727659632
14,266260,fresh_bite,1040,0,22599,0.0,0.04807692307692308,0.05594216347295854
14,266260,deep_black,10400,1966,326,0.18903846153846154,0.23365384615384616,0.2328990064617417
14,266260,fresh_bite,10400,108,198283,0.010384615384615384,0.05221153846153846,0.05357839427838373
15,265407,deep_black,313,23,129644,0.07348242811501597,0.23961661341853036,0.23353707607502452
15,265407,fresh_bite,313,0,5126,0.0,0.01597444089456869,0.0540163701637613
15,265407,deep_black,1040,133,652,0.12788461538461537,0.23846153846153847,0.23361867882881204
15,265407,fresh_bite,1040,0,33569,0.0,0.04326923076923077,0.05366720384522274
15,265407,deep_black,10400,1820,602,0.175,0.23615384615384616,0.23502755984427637
15,265407,fresh_bite,10400,93,244633,0.008942307692307692,0.047211538461538465,0.051087787894437096
16,265277,deep_black,313,23,246285,0.07348242811501597,0.23961661341853036,0.23472863285518028
16,265277,fresh_bite,313,0,7617,0.0,0.012779552715654952,0.05028893743214864
16,265277,deep_black,1040,124,1082,0.11923076923076924,0.2403846153846154,0.23482317368898784
16,265277,fresh_bite,1040,0,29791,0.0,0.0375,0.05006180325778567
16,265277,deep_black,10400,1828,51,0.17576923076923076,0.23711538461538462,0.2360019522160527
16,265277,fresh_bite,10400,14,215393,0.001346153846153846,0.045384615384615384,0.04807960271490372
17,260282,deep_black,313,26,706,0.08306709265175719,0.24281150159744408,0.23539435184275995
17,260282,fresh_bite,313,0,2544,0.0,0.012779552715654952,0.05043678546836505
17,260282,deep_black,1040,121,8915,0.11634615384615385,0.23942307692307693,0.2354381981680983
17,260282,fresh_bite,1040,0,17613,0.0,0.04038461538461539,0.050238000640325874
17,260282,deep_black,10400,1914,6245,0.18403846153846154,0.23903846153846153,0.23639279528973406
17,260282,fresh_bite,10400,61,157859,0.005865384615384615,0.046153846153846156,0.04823756902845917
18,257885,deep_black,313,21,134993,0.0670926517571885,0.2364217252396166,0.23247711319136066
18,257885,fresh_bite,313,0,3122,0.0,0.01597444089456869,0.053733642358705244
18,257885,deep_black,1040,136,164783,0.13076923076923078,0.23653846153846153,0.2325267378117627
18,257885,fresh_bite,1040,0,32060,0.0,0.04230769230769231,0.053541122216904595
18,257885,deep_black,10400,2010,163009,0.19326923076923078,0.23346153846153847,0.23231320582858145
18,257885,fresh_bite,10400,81,178479,0.007788461538461538,0.0525,0.05345176518143373
19,255436,deep_black,313,22,951,0.07028753993610223,0.23961661341853036,0.23361588548834714
19,255436,fresh_bite,313,0,4254,0.0,0.019169329073482427,0.053353545601555
19,255436,deep_black,1040,123,32687,0.11826923076923077,0.23653846153846153,0.2337094074041149
19,255436,fresh_bite,1040,0,30201,0.0,0.046153846153846156,0.05314774515059896
19,255436,deep_black,10400,2080,328,0.2,0.23346153846153847,0.23468284185339672
19,255436,fresh_bite,10400,77,233122,0.007403846153846154,0.05346153846153846,0.05153628290358662
20,255171,deep_black,313,22,592,0.07028753993610223,0.2364217252396166,0.2330932419225179
20,255171,fresh_bite,313,0,5649,0.0,0.01597444089456869,0.05492977780973598
20,255171,deep_black,1040,113,89,0.10865384615384616,0.23653846153846153,0.2333656933586301
20,255171,fresh_bite,1040,0,30007,0.0,0.047115384615384615,0.05439277316815368
20,255171,deep_black,10400,1913,71,0.18394230769230768,0.23548076923076924,0.23473588804463558
20,255171,fresh_bite,10400,131,190752,0.012596153846153845,0.04980769230769231,0.05205147702602988
21,255129,deep_black,313,21,103683,0.0670926517571885,0.23322683706070288,0.22775966730543867
21,255129,fresh_bite,313,0,11725,0.0,0.03194888178913738,0.06249586795490308
21,255129,deep_black,1040,131,4580,0.12596153846153846,0.23173076923076924,0.22788381690921145
21,255129,fresh_bite,1040,0,45853,0.0,0.052403846153846155,0.06223528459025724
21,255129,deep_black,10400,1876,7,0.1803846153846154,0.2308653846153846,0.22851856245029845
21,255129,fresh_bite,10400,98,176211,0.009423076923076923,0.05798076923076923,0.06117213318287972
22,252072,deep_black,313,25,57063,0.07987220447284345,0.23961661341853036,0.2341916359309693
22,252072,fresh_bite,313,0,4186,0.0,0.012779552715654952,0.05227769029990528
22,252072,deep_black,1040,140,4766,0.1346153846153846,0.2375,0.23432669287427427
22,252072,fresh_bite,1040,0,36825,0.0,0.04038461538461539,0.051875343388809746
22,252072,deep_black,10400,1967,421,0.18913461538461537,0.23567307692307693,0.235197080511524
22,252072,fresh_bite,10400,151,142635,0.014519230769230769,0.04701923076923077,0.050417061881773494
23,251853,deep_black,313,28,142338,0.08945686900958466,0.23961661341853036,0.23319007960808172
23,251853,fresh_bite,313,0,10471,0.0,0.01597444089456869,0.054733434610657355
23,251853,deep_black,1040,127,195563,0.12211538461538461,0.23653846153846153,0.23338792737002167
23,251853,fresh_bite,1040,0,19938,0.0,0.046153846153846156,0.05435452934476115
23,251853,deep_black,10400,1884,67,0.18115384615384617,0.23442307692307693,0.2343200389021384
23,251853,fresh_bite,10400,144,217929,0.013846153846153847,0.05019230769230769,0.052928046574885104
