label,phase,depth_lo,depth_hi,max_offset,kind,attempts,columns,events,pass_events,fail_events,c0_zero_events,c0_zero_rate,rank_actual,affine_rank_actual,rank_fail,affine_rank_fail,capacity,capacity_deficit_actual,column_nullity_actual,full_column_rank_actual,constant_actual_columns,duplicate_actual_column_patterns,max_duplicate_actual_pattern,rank_status
all,0,,,77,pre_onset_lock,304,16,4864,3932,932,4850,0.9971217105263158,16,16,16,16,16,0,0,1,0,0,1,full_capacity
all,0,,,103,pre_onset_lock,304,19,5776,4443,1333,5762,0.9975761772853186,19,19,19,19,19,0,0,1,0,0,1,full_capacity
all,0,,,1600,pre_onset_lock,304,187,56848,50925,5923,56636,0.9962707571066705,138,138,138,138,187,49,49,0,0,0,1,column_dependency
40-77,0,40,77,77,pre_onset_lock,252,16,4032,3100,932,4018,0.9965277777777778,16,16,16,16,16,0,0,1,0,0,1,full_capacity
40-77,0,40,77,103,pre_onset_lock,252,19,4788,3527,1261,4774,0.9970760233918129,19,19,19,19,19,0,0,1,0,0,1,full_capacity
40-77,0,40,77,1600,pre_onset_lock,252,187,47124,41801,5323,46912,0.9955012307953485,120,120,120,120,187,67,67,0,0,0,1,column_dependency
78-103,0,78,103,77,pre_onset_lock,44,16,704,704,0,704,1.0,1,0,0,0,16,15,15,0,16,14,12,column_dependency
78-103,0,78,103,103,pre_onset_lock,44,19,836,764,72,836,1.0,4,3,3,3,19,15,15,0,16,14,12,column_dependency
78-103,0,78,103,1600,pre_onset_lock,44,187,8228,7820,408,8228,1.0,16,15,16,15,44,28,171,0,42,109,38,sample_limited_dependency
80-,0,80,,77,pre_onset_lock,52,16,832,832,0,832,1.0,1,0,0,0,16,15,15,0,16,14,12,column_dependency
80-,0,80,,103,pre_onset_lock,52,19,988,916,72,988,1.0,4,3,3,3,19,15,15,0,16,14,12,column_dependency
80-,0,80,,1600,pre_onset_lock,52,187,9724,9124,600,9724,1.0,24,23,24,23,52,28,163,0,26,68,22,sample_limited_dependency
104-,0,104,,77,pre_onset_lock,8,16,128,128,0,128,1.0,1,0,0,0,8,7,15,0,16,14,12,sample_limited_dependency
104-,0,104,,103,pre_onset_lock,8,19,152,152,0,152,1.0,1,0,0,0,8,7,18,0,19,17,13,sample_limited_dependency
104-,0,104,,1600,pre_onset_lock,8,187,1496,1304,192,1496,1.0,8,7,8,7,8,0,179,0,65,154,59,full_capacity
208-,0,208,,77,pre_onset_lock,5,16,80,80,0,80,1.0,1,0,0,0,5,4,15,0,16,14,12,sample_limited_dependency
208-,0,208,,103,pre_onset_lock,5,19,95,95,0,95,1.0,1,0,0,0,5,4,18,0,19,17,13,sample_limited_dependency
208-,0,208,,1600,pre_onset_lock,5,187,935,889,46,935,1.0,5,4,5,4,5,0,182,0,152,173,146,full_capacity
512-,0,512,,77,pre_onset_lock,2,16,32,32,0,32,1.0,1,0,0,0,2,1,15,0,16,14,12,sample_limited_dependency
512-,0,512,,103,pre_onset_lock,2,19,38,38,0,38,1.0,1,0,0,0,2,1,18,0,19,17,13,sample_limited_dependency
512-,0,512,,1600,pre_onset_lock,2,187,374,353,21,374,1.0,2,1,2,1,2,0,185,0,170,183,162,full_capacity
all,103,,,77,pre_onset_lock,125,10,1250,821,429,1249,0.9992,9,9,9,9,10,1,1,0,1,0,1,column_dependency
all,103,,,103,pre_onset_lock,125,14,1750,1068,682,1747,0.9982857142857143,13,13,13,13,14,1,1,0,1,0,1,column_dependency
all,103,,,1600,pre_onset_lock,125,113,14125,12597,1528,14119,0.999575221238938,59,58,58,58,113,54,54,0,1,0,1,column_dependency
40-77,103,40,77,77,pre_onset_lock,110,10,1100,671,429,1099,0.9990909090909091,9,9,9,9,10,1,1,0,1,0,1,column_dependency
40-77,103,40,77,103,pre_onset_lock,110,14,1540,881,659,1537,0.9980519480519481,13,13,13,13,14,1,1,0,1,0,1,column_dependency
40-77,103,40,77,1600,pre_onset_lock,110,113,12430,10964,1466,12424,0.9995172968624296,53,52,52,52,110,57,60,0,1,0,1,sample_limited_dependency
78-103,103,78,103,77,pre_onset_lock,12,10,120,120,0,120,1.0,1,0,0,0,10,9,9,0,10,8,7,column_dependency
78-103,103,78,103,103,pre_onset_lock,12,14,168,145,23,168,1.0,4,3,3,3,12,8,10,0,11,9,8,sample_limited_dependency
78-103,103,78,103,1600,pre_onset_lock,12,113,1356,1310,46,1356,1.0,6,5,6,5,12,6,107,0,88,105,85,sample_limited_dependency
80-,103,80,,77,pre_onset_lock,13,10,130,130,0,130,1.0,1,0,0,0,10,9,9,0,10,8,7,column_dependency
80-,103,80,,103,pre_onset_lock,13,14,182,163,19,182,1.0,3,2,2,2,13,10,11,0,12,10,8,sample_limited_dependency
80-,103,80,,1600,pre_onset_lock,13,113,1469,1413,56,1469,1.0,7,6,7,6,13,6,106,0,77,101,73,sample_limited_dependency
104-,103,104,,77,pre_onset_lock,3,10,30,30,0,30,1.0,1,0,0,0,3,2,9,0,10,8,7,sample_limited_dependency
104-,103,104,,103,pre_onset_lock,3,14,42,42,0,42,1.0,1,0,0,0,3,2,13,0,14,12,8,sample_limited_dependency
104-,103,104,,1600,pre_onset_lock,3,113,339,323,16,339,1.0,3,2,3,2,3,0,110,0,97,108,91,full_capacity
208-,103,208,,77,pre_onset_lock,2,10,20,20,0,20,1.0,1,0,0,0,2,1,9,0,10,8,7,sample_limited_dependency
208-,103,208,,103,pre_onset_lock,2,14,28,28,0,28,1.0,1,0,0,0,2,1,13,0,14,12,8,sample_limited_dependency
208-,103,208,,1600,pre_onset_lock,2,113,226,216,10,226,1.0,2,1,2,1,2,0,111,0,103,109,97,full_capacity
512-,103,512,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,103,512,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,103,512,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
all,30,,,77,pre_onset_lock,83,9,747,547,200,747,1.0,9,9,9,9,9,0,0,1,0,0,1,full_capacity
all,30,,,103,pre_onset_lock,83,11,913,671,242,913,1.0,11,11,11,11,11,0,0,1,0,0,1,full_capacity
all,30,,,1600,pre_onset_lock,83,82,6806,6287,519,6806,1.0,25,25,25,25,82,57,57,0,0,6,2,column_dependency
40-77,30,40,77,77,pre_onset_lock,80,9,720,520,200,720,1.0,9,9,9,9,9,0,0,1,0,0,1,full_capacity
40-77,30,40,77,103,pre_onset_lock,80,11,880,642,238,880,1.0,11,11,11,11,11,0,0,1,0,0,1,full_capacity
40-77,30,40,77,1600,pre_onset_lock,80,82,6560,6045,515,6560,1.0,25,25,25,25,80,55,57,0,0,6,2,sample_limited_dependency
78-103,30,78,103,77,pre_onset_lock,3,9,27,27,0,27,1.0,1,0,0,0,3,2,8,0,9,7,5,sample_limited_dependency
78-103,30,78,103,103,pre_onset_lock,3,11,33,29,4,33,1.0,2,1,2,1,3,1,9,0,10,8,6,sample_limited_dependency
78-103,30,78,103,1600,pre_onset_lock,3,82,246,242,4,246,1.0,2,1,2,1,3,1,80,0,81,79,75,sample_limited_dependency
80-,30,80,,77,pre_onset_lock,3,9,27,27,0,27,1.0,1,0,0,0,3,2,8,0,9,7,5,sample_limited_dependency
80-,30,80,,103,pre_onset_lock,3,11,33,29,4,33,1.0,2,1,2,1,3,1,9,0,10,8,6,sample_limited_dependency
80-,30,80,,1600,pre_onset_lock,3,82,246,242,4,246,1.0,2,1,2,1,3,1,80,0,81,79,75,sample_limited_dependency
104-,30,104,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
104-,30,104,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
104-,30,104,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,30,208,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,30,208,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,30,208,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,30,512,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,30,512,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,30,512,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
all,24,,,77,pre_onset_lock,73,11,803,626,177,802,0.9987546699875467,10,10,10,10,11,1,1,0,1,0,1,column_dependency
all,24,,,103,pre_onset_lock,73,12,876,693,183,875,0.9988584474885844,11,11,11,11,12,1,1,0,1,0,1,column_dependency
all,24,,,1600,pre_onset_lock,73,97,7081,6797,284,7066,0.9978816551334557,17,17,17,17,73,56,80,0,22,68,22,sample_limited_dependency
40-77,24,40,77,77,pre_onset_lock,70,11,770,593,177,769,0.9987012987012988,10,10,10,10,11,1,1,0,1,0,1,column_dependency
40-77,24,40,77,103,pre_onset_lock,70,12,840,659,181,839,0.9988095238095238,11,11,11,11,12,1,1,0,1,0,1,column_dependency
40-77,24,40,77,1600,pre_onset_lock,70,97,6790,6509,281,6775,0.9977908689248896,16,16,16,16,70,54,81,0,22,69,22,sample_limited_dependency
78-103,24,78,103,77,pre_onset_lock,2,11,22,22,0,22,1.0,1,0,0,0,2,1,10,0,11,9,6,sample_limited_dependency
78-103,24,78,103,103,pre_onset_lock,2,12,24,22,2,24,1.0,1,0,1,0,2,1,11,0,12,10,6,sample_limited_dependency
78-103,24,78,103,1600,pre_onset_lock,2,97,194,192,2,194,1.0,1,0,1,0,2,1,96,0,97,95,91,sample_limited_dependency
80-,24,80,,77,pre_onset_lock,3,11,33,33,0,33,1.0,1,0,0,0,3,2,10,0,11,9,6,sample_limited_dependency
80-,24,80,,103,pre_onset_lock,3,12,36,34,2,36,1.0,2,1,1,1,3,1,10,0,11,9,6,sample_limited_dependency
80-,24,80,,1600,pre_onset_lock,3,97,291,288,3,291,1.0,2,1,2,1,3,1,95,0,95,93,90,sample_limited_dependency
104-,24,104,,77,pre_onset_lock,1,11,11,11,0,11,1.0,1,0,0,0,1,0,10,0,11,9,6,full_capacity
104-,24,104,,103,pre_onset_lock,1,12,12,12,0,12,1.0,1,0,0,0,1,0,11,0,12,10,7,full_capacity
104-,24,104,,1600,pre_onset_lock,1,97,97,96,1,97,1.0,1,0,1,0,1,0,96,0,97,95,91,full_capacity
208-,24,208,,77,pre_onset_lock,1,11,11,11,0,11,1.0,1,0,0,0,1,0,10,0,11,9,6,full_capacity
208-,24,208,,103,pre_onset_lock,1,12,12,12,0,12,1.0,1,0,0,0,1,0,11,0,12,10,7,full_capacity
208-,24,208,,1600,pre_onset_lock,1,97,97,96,1,97,1.0,1,0,1,0,1,0,96,0,97,95,91,full_capacity
512-,24,512,,77,pre_onset_lock,1,11,11,11,0,11,1.0,1,0,0,0,1,0,10,0,11,9,6,full_capacity
512-,24,512,,103,pre_onset_lock,1,12,12,12,0,12,1.0,1,0,0,0,1,0,11,0,12,10,7,full_capacity
512-,24,512,,1600,pre_onset_lock,1,97,97,96,1,97,1.0,1,0,1,0,1,0,96,0,97,95,91,full_capacity
all,102,,,77,pre_onset_lock,47,8,376,272,104,373,0.9920212765957447,8,8,8,8,8,0,0,1,0,0,1,full_capacity
all,102,,,103,pre_onset_lock,47,10,470,310,160,466,0.9914893617021276,10,10,10,10,10,0,0,1,0,0,1,full_capacity
all,102,,,1600,pre_onset_lock,47,95,4465,3851,614,4432,0.9926091825307951,30,30,30,30,47,17,65,0,0,1,2,sample_limited_dependency
40-77,102,40,77,77,pre_onset_lock,37,8,296,192,104,293,0.9898648648648649,8,8,8,8,8,0,0,1,0,0,1,full_capacity
40-77,102,40,77,103,pre_onset_lock,37,10,370,221,149,366,0.9891891891891892,10,10,10,10,10,0,0,1,0,0,1,full_capacity
40-77,102,40,77,1600,pre_onset_lock,37,95,3515,2917,598,3482,0.9906116642958748,29,29,29,29,37,8,66,0,0,1,2,sample_limited_dependency
78-103,102,78,103,77,pre_onset_lock,10,8,80,80,0,80,1.0,1,0,0,0,8,7,7,0,8,6,7,column_dependency
78-103,102,78,103,103,pre_onset_lock,10,10,100,89,11,100,1.0,3,2,2,2,10,7,7,0,8,6,7,column_dependency
78-103,102,78,103,1600,pre_onset_lock,10,95,950,934,16,950,1.0,4,3,3,3,10,6,91,0,88,90,87,sample_limited_dependency
80-,102,80,,77,pre_onset_lock,8,8,64,64,0,64,1.0,1,0,0,0,8,7,7,0,8,6,7,column_dependency
80-,102,80,,103,pre_onset_lock,8,10,80,72,8,80,1.0,1,0,1,0,8,7,9,0,10,8,8,sample_limited_dependency
80-,102,80,,1600,pre_onset_lock,8,95,760,747,13,760,1.0,2,1,2,1,8,6,93,0,90,92,88,sample_limited_dependency
104-,102,104,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
104-,102,104,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
104-,102,104,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,102,208,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,102,208,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,102,208,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,102,512,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,102,512,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,102,512,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
